topicId,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
401,0.04,0.12,0.1,0.92,0.24,0.1,0.0,0.62,0.34,0.02,0.02,0.04,0.06,0.0,0.0
402,0.24,0.3,0.52,0.3,0.36,0.28,0.06,0.48,0.32,0.1,0.32,0.34,0.42,0.3,0.32
403,0.32,0.4,0.4,0.38,0.4,0.36,0.16,0.4,0.42,0.34,0.4,0.36,0.38,0.34,0.32
404,0.06,0.2,0.26,0.28,0.36,0.38,0.18,0.28,0.22,0.0,0.16,0.34,0.28,0.28,0.22
405,0.08,0.22,0.3,0.34,0.2,0.22,0.1,0.3,0.22,0.0,0.2,0.26,0.18,0.1,0.18
406,0.04,0.18,0.2,0.18,0.2,0.14,0.0,0.26,0.2,0.0,0.18,0.18,0.16,0.16,0.2
407,0.1,0.54,0.52,0.38,0.48,0.36,0.06,0.4,0.64,0.24,0.38,0.52,0.36,0.2,0.3
408,0.2,0.36,0.44,0.36,0.5,0.42,0.06,0.48,0.3,0.34,0.3,0.34,0.46,0.3,0.28
409,0.08,0.1,0.1,0.14,0.16,0.18,0.08,0.14,0.08,0.0,0.14,0.12,0.1,0.12,0.16
410,0.22,0.9,0.88,0.74,0.84,0.82,0.02,0.78,0.88,0.0,0.86,0.88,0.68,0.04,0.82
411,0.04,0.22,0.24,0.2,0.22,0.16,0.04,0.3,0.22,0.0,0.18,0.24,0.2,0.12,0.18
412,0.0,0.64,0.08,0.5,0.48,0.32,0.08,0.12,0.68,0.0,0.14,0.44,0.22,0.0,0.56
413,0.2,0.26,0.44,0.36,0.18,0.1,0.1,0.46,0.08,0.0,0.3,0.46,0.32,0.22,0.12
414,0.06,0.28,0.34,0.5,0.26,0.22,0.14,0.16,0.22,0.0,0.24,0.16,0.24,0.2,0.24
415,0.22,0.78,0.78,0.94,0.74,0.68,0.32,0.76,0.84,0.12,0.66,0.86,0.5,0.66,0.66
416,0.1,0.38,0.38,0.32,0.38,0.36,0.18,0.38,0.38,0.0,0.36,0.36,0.38,0.38,0.4
417,0.0,0.22,0.0,0.14,0.28,0.42,0.08,0.42,0.02,0.02,0.12,0.38,0.12,0.04,0.46
418,0.12,0.34,0.4,0.32,0.42,0.42,0.04,0.4,0.52,0.0,0.34,0.66,0.42,0.36,0.5
419,0.02,0.06,0.14,0.18,0.1,0.04,0.1,0.14,0.06,0.0,0.1,0.14,0.18,0.08,0.14
