topicId,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
401,0.0384,0.1981,0.3038,0.9232,0.2955,0.2266,0.0312,0.6782,0.4075,0.0365,0.0398,0.0554,0.077,0.0103,0.0
402,0.3378,0.4508,0.6619,0.5059,0.5758,0.4679,0.0712,0.6503,0.5397,0.1252,0.4656,0.5376,0.4969,0.4268,0.4706
403,0.4987,0.8453,0.9082,0.9057,0.8333,0.6014,0.3463,0.8817,0.8194,0.3876,0.791,0.8805,0.7669,0.6994,0.7913
404,0.0911,0.2086,0.3194,0.3807,0.4395,0.4053,0.1695,0.3754,0.2435,0.0,0.2367,0.4433,0.4184,0.3134,0.2516
405,0.3198,0.4115,0.4296,0.5817,0.3055,0.2658,0.1226,0.4535,0.2961,0.0,0.3055,0.3971,0.383,0.3966,0.3164
406,0.8333,0.455,0.4385,0.506,0.5183,0.4479,0.0192,0.4733,0.5316,0.0,0.3068,0.5071,0.4179,0.3947,0.4075
407,0.1759,0.6993,0.6646,0.5886,0.6395,0.5477,0.2092,0.5982,0.746,0.7388,0.499,0.6809,0.4445,0.3871,0.3508
408,0.2336,0.4193,0.4664,0.5342,0.491,0.4201,0.0738,0.4363,0.34,0.4226,0.3813,0.4409,0.5075,0.388,0.3892
409,0.477,0.2384,0.2598,0.4509,0.3497,0.3772,0.1121,0.3767,0.2354,0.0,0.2496,0.3253,0.3766,0.2333,0.2135
410,0.3691,0.9287,0.9319,0.8785,0.8957,0.9178,0.0303,0.8724,0.9138,0.0,0.8886,0.9272,0.8056,0.057,0.8449
411,0.15,0.6731,0.6322,0.7634,0.5584,0.4232,0.0706,0.6548,0.5997,0.0,0.3858,0.7262,0.6075,0.2937,0.4068
412,0.023,0.7405,0.2363,0.7635,0.5897,0.5604,0.183,0.1681,0.7348,0.0193,0.1414,0.5187,0.3324,0.0,0.5927
413,0.3746,0.4075,0.5269,0.5224,0.2809,0.2282,0.0866,0.5807,0.0974,0.0,0.4491,0.6589,0.5877,0.3969,0.1302
414,0.0751,0.3494,0.391,0.7251,0.3742,0.3475,0.1103,0.2618,0.3567,0.0,0.3179,0.2913,0.2802,0.3071,0.2725
415,0.3318,0.852,0.8471,0.8996,0.8137,0.7475,0.4138,0.8435,0.8959,0.1551,0.6901,0.8981,0.5985,0.7424,0.7512
416,0.1622,0.3667,0.4144,0.3743,0.3632,0.3682,0.2563,0.4215,0.3615,0.0,0.4056,0.4568,0.439,0.4788,0.4378
417,0.0128,0.5228,0.0,0.1388,0.4717,0.5818,0.1731,0.568,0.0556,0.0268,0.1854,0.5043,0.3065,0.2812,0.569
418,0.5065,0.4842,0.5234,0.5013,0.5187,0.5362,0.0705,0.5395,0.5918,0.0,0.5468,0.7009,0.5405,0.5645,0.5521
419,0.1332,0.1357,0.292,0.4015,0.2711,0.2436,0.2845,0.2733,0.1117,0.0,0.1848,0.3018,0.276,0.1529,0.3006
420,0.2604,0.6741,0.722,0.3126,0.654,0.5562,0.2335,0.6486,0.6475,0.4446,0.542,0.6922,0.6809,0.5469,0.7188
421,0.0263,0.1453,0.1383,0.288,0.0969,0.0789,0.0423,0.0479,0.1264,0.0556,0.0657,0.1782,0.1637,0.3571,0.3249
